番号,表示・通知義務対象物質,CAS番号,表示裾切,通知裾切,Substances,"Content (Weight Percent)
for GHS Label","Content (Weight Percent)
for SDS",特化則※１,有機則※２,鉛則・四アルキル鉛則※３,石綿則※４,表示LEFT,表示value,通知LEFT,通知value
,別表第３第１号,,,,Attached Table 3（1）,,,,,,,,,,
1,ジクロルベンジジン及びその塩,91-94-1他,0.1%未満,0.1%未満,Dichlorobenzidine and its salts,"0.1%, no less than ","0.1%, no less than ",○第1類,,,,0.1%,0.1%,0.1%,0.1%
2,アルファ－ナフチルアミン及びその塩,134-32-7他,1%未満,1%未満,α-Naphthylamine and its salts,"1%, no less than ","1%, no less than ",○第1類,,,,1%,1.0%,1%,1.0%
3,塩素化ビフェニル（別名ＰＣＢ）,＊,0.1%未満,0.1%未満,Polychlorinated biphenyl (alias PCB),"0.1%, no less than ","0.1%, no less than ",○第1類,,,,0.1%,0.1%,0.1%,0.1%
4,オルト－トリジン及びその塩,119-93-7他,1%未満,0.1%未満,o-Tolidine and its salts,"1%, no less than ","0.1%, no less than ",○第1類,,,,1%,1.0%,0.1%,0.1%
5,ジアニシジン及びその塩,119-90-4他,1%未満,0.1%未満,Dianisidine and its salts,"1%, no less than ","0.1%, no less than ",○第1類,,,,1%,1.0%,0.1%,0.1%
6,ベリリウム及びその化合物,＊,0.1%未満,0.1%未満,Beryllium and its compounds,"0.1%, no less than ","0.1%, no less than ",○第1類,,,,0.1%,0.1%,0.1%,0.1%
7,ベンゾトリクロリド,98-07-7,0.1%未満,0.1%未満,Benzotrichloride,"0.1%, no less than ","0.1%, no less than ",○第1類,,,,0.1%,0.1%,0.1%,0.1%
,別表第９,,,,Attached Table 9,,,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!
1,アクリルアミド,79-06-1,0.1%未満,0.1%未満,Acrylamide,"0.1%, no less than ","0.1%, no less than ",○第2類,,,,0.1%,0.1%,0.1%,0.1%
2,アクリル酸,79-10-7,1%未満,1%未満,Acrylic acid,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
3,アクリル酸エチル,140-88-5,1%未満,0.1%未満,Ethyl acrylate,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
4,アクリル酸ノルマル－ブチル,141-32-2,1%未満,0.1%未満,n-Butyl acrylate,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
5,アクリル酸２－ヒドロキシプロピル,999-61-1,1%未満,0.1%未満,2-Hydroxypropyl acrylate,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
6,アクリル酸メチル,96-33-3,1%未満,0.1%未満,Methyl acrylate,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
7,アクリロニトリル,107-13-1,1%未満,0.1%未満,Acrylonitrile,"1%, no less than ","0.1%, no less than ",○第2類,,,,1%,1.0%,0.1%,0.1%
8,アクロレイン,107-02-8,1%未満,1%未満,Acrolein,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
9,アジ化ナトリウム,26628-22-8,1%未満,1%未満,Sodium azide,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
10,アジピン酸,124-04-9,1%未満,1%未満,Adipic acid,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
11,アジポニトリル,111-69-3,1%未満,1%未満,Adiponitrile,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
11-2,亜硝酸イソブチル,542-56-3,1%未満,0.1%未満,Isobutyl nitrite,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
11-3,アスファルト,8052-42-4,1%未満,0.1%未満,Asphalt,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
11-4,アセチルアセトン,123-54-6,1%未満,1%未満,Acetylacetone,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
12,アセチルサリチル酸（別名アスピリン）,50-78-2,0.3%未満,0.1%未満,Acetylsalicylic acid (alias Aspirin),"0.3%, no less than ","0.1%, no less than ",,,,,0.3%,0.3%,0.1%,0.1%
13,アセトアミド,60-35-5,1%未満,0.1%未満,Acetamide,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
14,アセトアルデヒド,75-07-0,1%未満,0.1%未満,Acetaldehyde,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
15,アセトニトリル,75-05-8,1%未満,1%未満,Acetonitrile,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
16,アセトフェノン,98-86-2,1%未満,1%未満,Acetophenone,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
17,アセトン,67-64-1,1%未満,0.1%未満,Acetone,"1%, no less than ","0.1%, no less than ",,○第2種,,,1%,1.0%,0.1%,0.1%
18,アセトンシアノヒドリン,75-86-5,1%未満,1%未満,Acetone cyanohydrin,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
19,アニリン,62-53-3,1%未満,0.1%未満,Aniline,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
20,アミド硫酸アンモニウム,7773-06-0,1%未満,1%未満,Ammonium amidosulfate,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
21,２－アミノエタノール,141-43-5,1%未満,0.1%未満,2-Aminoethanol,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
22,４－アミノ－６－ターシャリ－ブチル－３－メチルチオ－１，２，４－トリアジン－５（４Ｈ）－オン（別名メトリブジン）,21087-64-9,1%未満,1%未満,"4-Amino-6-tert-butyl-3-methylthio-1,2,4-triazin-5(4H)-one (alias Metribuzin)","1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
23,３－アミノ－１Ｈ－１，２，４－トリアゾール（別名アミトロール）,61-82-5,1%未満,0.1%未満,"3-Amino-1H-1,2,4-triazole (alias Amitrole)","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
24,４―アミノ―３，５，６―トリクロロピリジン―２―カルボン酸（別名ピクロラム）,1918-02-1,1%未満,1%未満,"4-Amino-3,5,6-trichloropyridine-2-carboxylic acid (alias Picloram)","1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
25,２―アミノピリジン,504-29-0,1%未満,1%未満,2-Aminopyridine,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
26,亜硫酸水素ナトリウム,7631-90-5,1%未満,1%未満,Sodium hydrogen sulfite,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
27,アリルアルコール,107-18-6,1%未満,1%未満,Allyl alcohol,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
28,１―アリルオキシ―２，３―エポキシプロパン,106-92-3,1%未満,0.1%未満,"1-Allyloxy-2,3-epoxypropane","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
29,アリル水銀化合物,＊,1%未満,0.1%未満,Arylmercury compounds,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
30,アリル―ノルマル―プロピルジスルフィド,2179-59-1,1%未満,0.1%未満,Allyl n-propyl disulfide,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
31,亜りん酸トリメチル,121-45-9,1%未満,1%未満,Trimethyl phosphite,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
32,アルキルアルミニウム化合物,＊,1%未満,1%未満,Alkylaluminum compounds,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
33,アルキル水銀化合物,＊,0.3%未満,0.1%未満,Alkylmercury compounds,"0.3%, no less than ","0.1%, no less than ","○第2類
※アルキル基がメチル基又はエチル基である物に限る。",,,,0.3%,0.3%,0.1%,0.1%
34,３―（アルファ―アセトニルベンジル）―４―ヒドロキシクマリン（別名ワルファリン）,81-81-2,0.3%未満,0.1%未満,3-(α-Acetonylbenzyl)-4-hydroxycoumarin (alias Warfarin),"0.3%, no less than ","0.1%, no less than ",,,,,0.3%,0.3%,0.1%,0.1%
35,アルファ，アルファ―ジクロロトルエン,98-87-3,0.1%未満,0.1%未満,"α,α-Dichlorotoluene","0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
